Vannankulam,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Pillaiarkuppam,Pillayarkuppam B.O,607403,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Valluvarmedu,Kirumambakkam,607403,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Nagappanur,Kirumambakkam,607403,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Pillayarkuppam,Kirumambakkam,607403,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Eachangadu,Kirumambakkam,607403,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Kandanpet,Kirumambakkam,607403,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Kirumampakkam,Kirumambakkam,607403,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Pannithittu,Kirumambakkam,607403,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Vambapet,Kirumambakkam,607403,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Aladimedu,Kirumambakkam,607403,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Keelalinjipattu,Kirumambakkam,607403,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Reddichavady,Kirumambakkam,607403,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
kumarakudi,Nallambal B.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
Nallazhundur,Nallambal B.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
Ambagarathur,Ambagarathur S.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
gurunathapuram,Seithur B.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
kottapady,Seithur B.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
kalladi st,Ambagarathur S.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
then pidagai,Seithur B.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
vadakkupet st,Ambagarathur S.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
vedan thuppu,Ambagarathur S.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
rice mill st,Ambagarathur S.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
pandaravadai,Seithur B.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
Sethur,Seithur B.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
iyyer kottapady,Seithur B.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
kannapur st,Ambagarathur S.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
solan kurichi salai,Ambagarathur S.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
madarsa st,Ambagarathur S.O,609601,Thirunallar Commune Panchayat,KARAIKAL,PONDICHERRY
puduthurai,Karaikal S.O,609602,Kottucherry Commune Panchayat,KARAIKAL,PONDICHERRY
karaikal,Karaikal S.O,609602,Kottucherry Commune Panchayat,KARAIKAL,PONDICHERRY
Dharmapuram,Karaikal S.O,609602,Kottucherry Commune Panchayat,KARAIKAL,PONDICHERRY
Agaramangudy,Nedungadu S.O,609603,Nedungadu Commune Panchayat,KARAIKAL,PONDICHERRY
AGARAMUGANDANOOR,Velangudi B.O,609603,Nedungadu Commune Panchayat,KARAIKAL,PONDICHERRY
KOLLAR ST,Melakasakudi B.O,609603,Nedungadu Commune Panchayat,KARAIKAL,PONDICHERRY
MARIYAMMAN KOVIL ST,Melakasakudi B.O,609603,Nedungadu Commune Panchayat,KARAIKAL,PONDICHERRY
Mela paruthikudi,Nedungadu S.O,609603,Nedungadu Commune Panchayat,KARAIKAL,PONDICHERRY
Nedungadu,Nedungadu S.O,609603,Nedungadu Commune Panchayat,KARAIKAL,PONDICHERRY
SANDHANA MADHA CHURCH,Melakasakudi B.O,609603,Nedungadu Commune Panchayat,KARAIKAL,PONDICHERRY
