Jaroit,Mawkhanu B.O,793012,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Lyngkein,Mawpat S.O,793012,Mylliem,EAST KHASI HILLS,MEGHALAYA
Mawkasiang,Tynring B.O,793012,Mylliem,EAST KHASI HILLS,MEGHALAYA
Mawpdang,Tynring B.O,793012,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Nonghali,Mawkhanu B.O,793012,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Mawiong Diengpasoh,Diengpasoh B.O,793012,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Mawkynring,Tynring B.O,793012,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Ummir,Mawkhanu B.O,793012,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Mawkhanu,Mawkhanu B.O,793012,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Mawpat(Umsawli),Mawpat S.O,793012,Mylliem,EAST KHASI HILLS,MEGHALAYA
Ryngksaw,Tynring B.O,793012,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Tynring,Tynring B.O,793012,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Nongthymmai(Laitkroh),Nongthymmai S.O,793014,Mylliem,EAST KHASI HILLS,MEGHALAYA
Lamlyer,Umphyrnai B.O,793015,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Lynshing,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Madan Demkhlieng,Jongksha B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawkathein,Thangsning B.O,793015,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Mawlang,Mawlong B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawsir,Mawkynrew B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mynriah,Mawkynrew B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mynriang,Lynshing B.O,793015,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
New Nongryngkoh,Mawlong B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Nongthymmai,Lynshing B.O,793015,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Rasong,Thangsning B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Sohryngkham,Sohryngkham B.O,793015,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Thangbnai,Jongksha B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Umphrup (Saitdngiem),Smit S.O,793015,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Umphyrnai,Sohryngkham B.O,793015,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Jongksha,Jongksha B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Kharang,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Khwad,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Ksanrngi,Mawkynrew B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Kynton-U-Mon,Umphyrnai B.O,793015,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Langsiew,Mawkynrew B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Leitdiengsai,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Lynshing,Lynshing B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawdulop,Mawkynrew B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawkria,Mawlat B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawlang,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawlat,Kharang B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawpyrshong,Thynroit B.O,793015,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Nongjrong,Kharang B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Nongkrem,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Rangmudi,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Rasong,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Rngibah,Ryngibah B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Smit,Smit S.O,793015,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Sonidan,Umsning B.O,793015,Umsning,RI BHOI,MEGHALAYA
Syniasya,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Thynroit,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Umsning Patarim,Umsning B.O,793015,Umsning,RI BHOI,MEGHALAYA
Wahumsim,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Dienglieng,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Iewpomtiah,Nongkrem B.O,793015,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Jatah Lakadong,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Khabri (Khasi),Nongkrem B.O,793015,Mawsynram,EAST KHASI HILLS,MEGHALAYA
Khapmaw,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Lait Mansang,Mawkynrew B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawjatap,Mawlong B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawlein,Mawkynrew B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawlyngot,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mynriah,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Nonghulew,Mawlong B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Syntung,Mawlong B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Tanglei,Umsning B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Thangbnai,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Thynroit,Thynroit B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Umsawwar,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Umsham,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Umtong,Mawkynrew B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Wahlyngdoh,Mawlat B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Warmatlah,Thynroit B.O,793015,Mawryngkneng,EAST KHASI HILLS,MEGHALAYA
Iapdkoh,Jongksha B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Laitkyrhong,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawblang,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawlang,Thangsning B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawlat,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Mawrasai,Smit S.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
Nongpyrdi,Lynshing B.O,793015,Mawkynrew,EAST KHASI HILLS,MEGHALAYA
