KHUDIRAM PALLY,Beraberia B.O,700121,Barrackpur - I,NORTH 24 PARGANAS,WEST BENGAL
Nabharanda,Nilganj Bazaar S.O,700121,Barrackpur - II,NORTH 24 PARGANAS,WEST BENGAL
S.T PARA,Sewli Telinipara B.O,700121,Barrackpur - I,NORTH 24 PARGANAS,WEST BENGAL
Surjyapur,Suryapur B.O,700121,Barrackpur - II,NORTH 24 PARGANAS,WEST BENGAL
SURYA PUR,Nilganj Bazaar S.O,700121,Barrackpur - I,NORTH 24 PARGANAS,WEST BENGAL
Bara Kanthalia,Nilganj Bazaar S.O,700121,Barrackpur - II,NORTH 24 PARGANAS,WEST BENGAL
Ganespur,Nilganj Bazaar S.O,700121,Barrackpur - II,NORTH 24 PARGANAS,WEST BENGAL
Ishwaripur,Nilganj Bazaar S.O,700121,Barrackpur - II,NORTH 24 PARGANAS,WEST BENGAL
KAHAR PARA,Beraberia B.O,700121,Barrackpur - I,NORTH 24 PARGANAS,WEST BENGAL
SAHAPUR,Beraberia B.O,700121,Barrackpur - I,NORTH 24 PARGANAS,WEST BENGAL
Sebarhat,Nilganj Bazaar S.O,700121,Barasat - I,NORTH 24 PARGANAS,WEST BENGAL
BERABERIA,Nilganj Bazaar S.O,700121,Barrackpur - I,NORTH 24 PARGANAS,WEST BENGAL
Chak Kanthalia,Nilganj Bazaar S.O,700121,Barrackpur - II,NORTH 24 PARGANAS,WEST BENGAL
COLLEGE PALLY,Sewli Telinipara B.O,700121,Barrackpur - I,NORTH 24 PARGANAS,WEST BENGAL
Nilganje,Nilganj Bazaar S.O,700121,Barrackpur - II,NORTH 24 PARGANAS,WEST BENGAL
Tababeria,Beraberia B.O,700121,Amdanga,NORTH 24 PARGANAS,WEST BENGAL
Chharuhat,Nilganj Bazaar S.O,700121,Amdanga,NORTH 24 PARGANAS,WEST BENGAL
Chhota Kanthalia,Nilganj Bazaar S.O,700121,Barrackpur - II,NORTH 24 PARGANAS,WEST BENGAL
S.T PARA,Nilganj Bazaar S.O,700121,Barrackpur - I,NORTH 24 PARGANAS,WEST BENGAL
SARASWATI PALLY,Sewli Telinipara B.O,700121,Barrackpur - I,NORTH 24 PARGANAS,WEST BENGAL
SRIMA COLONI,Beraberia B.O,700121,Barrackpur - I,NORTH 24 PARGANAS,WEST BENGAL
Teleni Para,Sewli Telinipara B.O,700121,Barrackpur - II,NORTH 24 PARGANAS,WEST BENGAL
