Khamaria,Khamaria B.O,491111,Patan,DURG,CHATTISGARH
Loharsi,Tarra B.O,491111,Patan,DURG,CHATTISGARH
Rakhi,Tarra B.O,491111,Patan,DURG,CHATTISGARH
Ruhi,Jamgaon B.O,491111,Patan,DURG,CHATTISGARH
Saoni,Tarra B.O,491111,Patan,DURG,CHATTISGARH
Achanakpur,Tarra B.O,491111,Patan,DURG,CHATTISGARH
Amapendri,Tarra B.O,491111,Patan,DURG,CHATTISGARH
Ameri,Jamgaon B.O,491111,Patan,DURG,CHATTISGARH
Batang,Batang B.O,491111,Patan,DURG,CHATTISGARH
Bhatagaon,Batang B.O,491111,Patan,DURG,CHATTISGARH
Bohardih,Santra B.O,491111,Patan,DURG,CHATTISGARH
Borid,Borid B.O,491111,Patan,DURG,CHATTISGARH
Jamgaon (M),Jamgaon B.O,491111,Patan,DURG,CHATTISGARH
Nawagaon,Devada B.O,491111,Patan,DURG,CHATTISGARH
Raveli,Tarra B.O,491111,Patan,DURG,CHATTISGARH
Semri,Darbarmokhli B.O,491111,Patan,DURG,CHATTISGARH
Amlidih,Batang B.O,491111,Patan,DURG,CHATTISGARH
Barbaspur,Borid B.O,491111,Patan,DURG,CHATTISGARH
Dangania,Khamaria B.O,491111,Patan,DURG,CHATTISGARH
Funda (Devara),Devada B.O,491111,Patan,DURG,CHATTISGARH
Kesra,Kesra B.O,491111,Patan,DURG,CHATTISGARH
Khamharia,Khamaria B.O,491111,Patan,DURG,CHATTISGARH
Kuruddih,Batang B.O,491111,Patan,DURG,CHATTISGARH
Manik Chauri,Santra B.O,491111,Patan,DURG,CHATTISGARH
Sikola (Patan),Bathena B.O,491111,Patan,DURG,CHATTISGARH
Tarrighat,Khamaria B.O,491111,Patan,DURG,CHATTISGARH
Teligundra,Teligundra B.O,491111,Patan,DURG,CHATTISGARH
Thakurain Tola,Bathena B.O,491111,Patan,DURG,CHATTISGARH
Ufra,Mahudajhit B.O,491111,Patan,DURG,CHATTISGARH
Chicha (Devara),Bathena B.O,491111,Patan,DURG,CHATTISGARH
Devada,Devada B.O,491111,Patan,DURG,CHATTISGARH
Jamrao,Mahudajhit B.O,491111,Patan,DURG,CHATTISGARH
Kapsi,Mahudajhit B.O,491111,Patan,DURG,CHATTISGARH
Khamhariya,Sankra B.O,491111,Patan,DURG,CHATTISGARH
Tarra,Tarra B.O,491111,Patan,DURG,CHATTISGARH
Tulsi,Bathena B.O,491111,Patan,DURG,CHATTISGARH
Bodal,Patan S.O (Durg),491111,Patan,DURG,CHATTISGARH
Ghughwa (Amlesar),Sankra B.O,491111,Patan,DURG,CHATTISGARH
Gujra,Gujra B.O,491111,Patan,DURG,CHATTISGARH
Jamrao,Patan S.O (Durg),491111,Patan,DURG,CHATTISGARH
Karga,Jamgaon B.O,491111,Patan,DURG,CHATTISGARH
Kurmigudra,Darbarmokhli B.O,491111,Patan,DURG,CHATTISGARH
Matia,Gujra B.O,491111,Patan,DURG,CHATTISGARH
Pandar,Gujra B.O,491111,Patan,DURG,CHATTISGARH
